scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.linger-sweep,linger5-skip1,original,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,2752,2614992,8000000,7413000,1,513000000
baseline.linger-sweep,linger5-skip1,original,0,sealed,4096,4096,0,4096,0,8000000,9000000,2752,2614992,8000000,7413000,1,513000000
baseline.open-loop-rate,rate2000,common,0,broker-ready,40000,40000,0,40000,0,7000000,7500000,11874,24152747,7500000,5818002,1,20006000000
baseline.open-loop-rate,rate2000,common,0,sealed,40000,40000,0,40000,0,7000000,7500000,16874,24360247,7500000,5818001,1,20006000000
baseline.open-loop-rate,rate2000,original,0,broker-ready,40000,40000,0,40000,0,6500000,7500000,16874,24360364,7500000,5819000,1,20006000000
baseline.open-loop-rate,rate2000,original,0,sealed,40000,40000,0,40000,0,6500000,7500000,16874,24360364,7500000,5819000,1,20006000000
baseline.open-loop-rate,rate32000,common,0,broker-ready,640000,507897,132103,507897,0,3406250,7875000,39537,291284012,7875000,6664751,1,20006000000
baseline.open-loop-rate,rate32000,common,0,sealed,640000,360513,279487,360513,0,6250000,7875000,43913,206790017,7875000,6664751,1,20007000000
baseline.open-loop-rate,rate32000,original,0,broker-ready,640000,509644,130356,509644,0,4968750,7125000,63736,292458331,7031250,5820000,1,20007000000
baseline.open-loop-rate,rate32000,original,0,sealed,640000,509644,130356,509644,0,4968750,7125000,63736,292458331,7031250,5820000,1,20007000000
baseline.open-loop-rate,rate500,common,0,broker-ready,10000,10000,0,10000,0,7000000,8000000,5781,6451341,8000000,5818001,1,20001000000
baseline.open-loop-rate,rate500,common,0,sealed,10000,10000,0,10000,0,7000000,8000000,7970,6539575,8000000,5818001,1,20005000000
baseline.open-loop-rate,rate500,original,0,broker-ready,10000,10000,0,10000,0,7000000,8000000,7970,6539692,8000000,5819000,1,20005000000
baseline.open-loop-rate,rate500,original,0,sealed,10000,10000,0,10000,0,7000000,8000000,7970,6539692,8000000,5819000,1,20005000000
baseline.open-loop-rate,rate8000,common,0,broker-ready,160000,160000,0,160000,0,6500000,7500000,12919,91851913,7500000,6196001,1,20006000000
baseline.open-loop-rate,rate8000,common,0,sealed,160000,160000,0,160000,0,6875000,7625000,23437,92214681,7500000,6196001,1,20006000000
baseline.open-loop-rate,rate8000,original,0,broker-ready,160000,160000,0,160000,0,6500000,7375000,23437,92214798,7125000,5820000,1,20006000000
baseline.open-loop-rate,rate8000,original,0,sealed,160000,160000,0,160000,0,6500000,7375000,23437,92214798,7125000,5820000,1,20006000000
baseline.partition-admission-skew,hot-rate32000-pressure,common,0,broker-ready,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-pressure,common,0,sealed,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-pressure,original,0,broker-ready,320008,119680,200328,119680,0,4031250,8000000,9974,68078224,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate32000-pressure,original,0,sealed,320008,119680,200328,119680,0,4031250,8000000,9974,68078224,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,common,0,broker-ready,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,common,0,sealed,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,original,0,broker-ready,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,original,0,sealed,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate8000-pressure,common,0,broker-ready,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-pressure,common,0,sealed,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-pressure,original,0,broker-ready,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,hot-rate8000-pressure,original,0,sealed,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,common,0,broker-ready,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,common,0,sealed,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,original,0,broker-ready,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,original,0,sealed,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,skew90-rate32000-pressure,common,0,broker-ready,320008,158686,161322,158686,0,6423611,8250000,13962,90651556,8250000,6205001,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-pressure,common,0,sealed,320008,156560,163448,156560,0,6979166,9250000,13276,89303914,8680555,7793057,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-pressure,original,0,broker-ready,320008,127390,192618,127390,0,7430555,8250000,14774,73493084,8076389,6206055,1,10207000000
baseline.partition-admission-skew,skew90-rate32000-pressure,original,0,sealed,320008,122992,197016,122992,0,8263888,9250000,13174,70535790,8000000,7809055,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,common,0,broker-ready,320008,158686,161322,158686,0,6423611,8250000,13962,90651556,8250000,6205001,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,common,0,sealed,320008,156560,163448,156560,0,6979166,9250000,13276,89303914,8680555,7793057,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,original,0,broker-ready,320008,158256,161752,158256,0,6423611,8000000,13909,90402777,8000000,6206000,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,original,0,sealed,320008,156557,163451,156557,0,6979166,9250000,13279,89302182,8680555,7795055,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-pressure,common,0,broker-ready,80008,80008,0,80008,0,7500000,8250000,13798,46570690,8000000,6205001,1,10202000000
baseline.partition-admission-skew,skew90-rate8000-pressure,common,0,sealed,80008,80008,0,80008,0,8055555,8472222,13223,46499236,8000000,7268557,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-pressure,original,0,broker-ready,80008,80008,0,80008,0,7500000,8250000,13798,46570690,8000000,6206000,1,10202000000
baseline.partition-admission-skew,skew90-rate8000-pressure,original,0,sealed,80008,80008,0,80008,0,8055555,8472222,13228,46499486,8000000,7268555,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-shared,common,0,broker-ready,80008,80008,0,80008,0,7500000,8250000,13798,46570690,8000000,6205001,1,10202000000
baseline.partition-admission-skew,skew90-rate8000-shared,common,0,sealed,80008,80008,0,80008,0,8055555,8472222,13223,46499236,8000000,7268557,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-shared,original,0,broker-ready,80008,80008,0,80008,0,7500000,8250000,13798,46570690,8000000,6206000,1,10202000000
baseline.partition-admission-skew,skew90-rate8000-shared,original,0,sealed,80008,80008,0,80008,0,8055555,8472222,13228,46499486,8000000,7268555,1,10207000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,common,0,broker-ready,320008,159339,160669,159339,0,6423611,8000000,12806,91021207,8000000,6205001,1,10204000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,common,0,sealed,320008,144896,175112,144896,0,8750000,10375000,12648,82652839,10034722,8812557,1,10206000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,original,0,broker-ready,320008,125944,194064,125944,0,6423611,8000000,13281,72927700,8000000,6206000,1,10207000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,original,0,sealed,320008,116808,203200,116808,0,8750000,9479166,13174,67068054,8020833,8257055,1,10204000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,common,0,broker-ready,320008,159339,160669,159339,0,6423611,8000000,12806,91021207,8000000,6205001,1,10204000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,common,0,sealed,320008,144896,175112,144896,0,8750000,10375000,12648,82652839,10034722,8812557,1,10206000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,original,0,broker-ready,320008,158963,161045,158963,0,6423611,8000000,12778,90800662,8000000,6206000,1,10204000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,original,0,sealed,320008,144776,175232,144776,0,8750000,10034722,12639,82584881,10034722,8811055,1,10206000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,common,0,broker-ready,80008,80008,0,80008,0,6527777,8250000,12318,46496690,8000000,6205001,1,10202000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,common,0,sealed,80008,80008,0,80008,0,8333333,8472222,13187,46497436,8000000,7268557,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,original,0,broker-ready,80008,80008,0,80008,0,6527777,8250000,12318,46496690,8000000,6206000,1,10202000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,original,0,sealed,80008,80008,0,80008,0,8333333,9027777,13186,46497318,8000000,7810555,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,common,0,broker-ready,80008,80008,0,80008,0,6527777,8250000,12318,46496690,8000000,6205001,1,10202000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,common,0,sealed,80008,80008,0,80008,0,8333333,8472222,13187,46497436,8000000,7268557,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,original,0,broker-ready,80008,80008,0,80008,0,6527777,8250000,12318,46496690,8000000,6206000,1,10202000000
