scenario,variant,profile,size,seed,adapter,offered,accepted,refused,acked,failed,duration_ns,ack_p50_ns,ack_p99_ns,ack_max_ns,failed_max_ns,first_observation_wait_p99_ns,first_observation_wait_max_ns,broker_attempts_max,broker_record_observations,attempted_records,produce_requests,wire_bytes,request_records_p50,global_pending_gap_ns,partition_pending_gap_ns,gap_partition,gap_end_kind,deadline_overshoot_count,sender_errors,max_source_lag_ns,fault_exposure_comparable,last_offer_ns,last_terminal_ns,source_offer_gap_max_ns
baseline.partition-fanout-skew,p1-skew0,original,full,0,native,4096,4096,0,4096,0,518000000,4000000,5000000,8000000,,2809000,5819000,1,4096,4096,509,2350124,8,8000000,8000000,0,ack,0,0,0,True,514000000,518000000,8000000
baseline.partition-fanout-skew,p1-skew0,common,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
baseline.partition-fanout-skew,p1-skew0,common,full,0,native,4096,4096,0,4096,0,518000000,4000000,5000000,8000000,,2808016,5818001,1,4096,4096,509,2350124,8,8000000,8000000,0,ack,0,0,0,True,514000000,518000000,8000000
baseline.partition-fanout-skew,p1-skew50,original,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
baseline.partition-fanout-skew,p1-skew50,original,full,0,native,4096,4096,0,4096,0,518000000,4000000,5000000,8000000,,2809000,5819000,1,4096,4096,509,2350124,8,8000000,8000000,0,ack,0,0,0,True,514000000,518000000,8000000
baseline.partition-fanout-skew,p1-skew50,common,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
baseline.partition-fanout-skew,p1-skew50,common,full,0,native,4096,4096,0,4096,0,518000000,4000000,5000000,8000000,,2808016,5818001,1,4096,4096,509,2350124,8,8000000,8000000,0,ack,0,0,0,True,514000000,518000000,8000000
baseline.partition-fanout-skew,p1-skew90,original,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
baseline.partition-fanout-skew,p1-skew90,original,full,0,native,4096,4096,0,4096,0,518000000,4000000,5000000,8000000,,2809000,5819000,1,4096,4096,509,2350124,8,8000000,8000000,0,ack,0,0,0,True,514000000,518000000,8000000
baseline.partition-fanout-skew,p1-skew90,common,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
