scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.partition-admission-skew,hot-rate32000-pressure,original,0,estimated-wire,320008,119680,200328,119680,0,4031250,8000000,9974,68078224,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,common,0,raw,320008,79824,240184,79824,0,8031250,8468750,9978,45799192,8000000,6821752,1,10208000000
baseline.partition-admission-skew,hot-rate32000-shared,common,0,estimated-wire,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-shared,original,0,raw,320008,79824,240184,79824,0,8031250,8468750,9978,45799192,8000000,6821750,1,10208000000
baseline.partition-admission-skew,hot-rate32000-shared,original,0,estimated-wire,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5819000,1,10204000000
baseline.partition-admission-skew,hot-rate8000-pressure,common,0,raw,80008,79814,194,79814,0,8125000,8750000,9977,45793484,8000000,6821002,1,10208000000
baseline.partition-admission-skew,hot-rate8000-pressure,common,0,estimated-wire,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-pressure,original,0,raw,80008,79798,210,79798,0,6125000,8000000,9975,45784304,8000000,5818000,1,10206000000
baseline.partition-admission-skew,hot-rate8000-pressure,original,0,estimated-wire,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,common,0,raw,80008,79814,194,79814,0,8125000,8750000,9977,45793484,8000000,6821002,1,10208000000
baseline.partition-admission-skew,hot-rate8000-shared,common,0,estimated-wire,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5818001,1,10206000000
baseline.partition-admission-skew,hot-rate8000-shared,original,0,raw,80008,79814,194,79814,0,8125000,8750000,9977,45793484,8000000,6821000,1,10208000000
baseline.partition-admission-skew,hot-rate8000-shared,original,0,estimated-wire,80008,80008,0,80008,0,4125000,8000000,9973,45901458,8000000,5819000,1,10206000000
baseline.partition-admission-skew,skew90-rate32000-pressure,common,0,raw,320008,85356,234652,85356,0,8055556,11006944,11528,49220350,11006944,9792557,1,10208000000
baseline.partition-admission-skew,skew90-rate32000-pressure,common,0,estimated-wire,320008,156560,163448,156560,0,6979166,9250000,13276,89303914,8680555,7793057,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-pressure,original,0,raw,320008,104884,215124,104884,0,9131944,11736111,13175,60451276,10034723,10507555,1,10207000000
baseline.partition-admission-skew,skew90-rate32000-pressure,original,0,estimated-wire,320008,122992,197016,122992,0,8263888,9250000,13174,70535790,8000000,7809055,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,common,0,raw,320008,85356,234652,85356,0,8055556,11006944,11528,49220350,11006944,9792557,1,10208000000
baseline.partition-admission-skew,skew90-rate32000-shared,common,0,estimated-wire,320008,156560,163448,156560,0,6979166,9250000,13276,89303914,8680555,7793057,1,10204000000
baseline.partition-admission-skew,skew90-rate32000-shared,original,0,raw,320008,85363,234645,85363,0,8055556,11006944,11530,49224499,11006944,9781055,1,10208000000
baseline.partition-admission-skew,skew90-rate32000-shared,original,0,estimated-wire,320008,156557,163451,156557,0,6979166,9250000,13279,89302182,8680555,7795055,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-pressure,common,0,raw,80008,80008,0,80008,0,8750000,11111111,13195,46534148,9027778,9780557,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-pressure,common,0,estimated-wire,80008,80008,0,80008,0,8055555,8472222,13223,46499236,8000000,7268557,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-pressure,original,0,raw,80008,80008,0,80008,0,8750000,11111111,13196,46534470,9027778,9786555,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-pressure,original,0,estimated-wire,80008,80008,0,80008,0,8055555,8472222,13228,46499486,8000000,7268555,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-shared,common,0,raw,80008,80008,0,80008,0,8750000,11111111,13195,46534148,9027778,9780557,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-shared,common,0,estimated-wire,80008,80008,0,80008,0,8055555,8472222,13223,46499236,8000000,7268557,1,10207000000
baseline.partition-admission-skew,skew90-rate8000-shared,original,0,raw,80008,80008,0,80008,0,8750000,11111111,13196,46534470,9027778,9786555,1,10204000000
baseline.partition-admission-skew,skew90-rate8000-shared,original,0,estimated-wire,80008,80008,0,80008,0,8055555,8472222,13228,46499486,8000000,7268555,1,10207000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,common,0,raw,320008,85355,234653,85355,0,9965277,10375000,11528,49219791,10375000,8812557,1,10208000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,common,0,estimated-wire,320008,144896,175112,144896,0,8750000,10375000,12648,82652839,10034722,8812557,1,10206000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,original,0,raw,320008,98996,221012,98996,0,9201388,10277777,13175,57111264,8680555,9060055,1,10207000000
baseline.partition-admission-skew,sparse1024-rate32000-pressure,original,0,estimated-wire,320008,116808,203200,116808,0,8750000,9479166,13174,67068054,8020833,8257055,1,10204000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,common,0,raw,320008,85355,234653,85355,0,9965277,10375000,11528,49219791,10375000,8812557,1,10208000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,common,0,estimated-wire,320008,144896,175112,144896,0,8750000,10375000,12648,82652839,10034722,8812557,1,10206000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,original,0,raw,320008,85362,234646,85362,0,9965277,10375000,11530,49223940,10375000,8812555,1,10208000000
baseline.partition-admission-skew,sparse1024-rate32000-shared,original,0,estimated-wire,320008,144776,175232,144776,0,8750000,10034722,12639,82584881,10034722,8811055,1,10206000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,common,0,raw,80008,80008,0,80008,0,9583333,10138888,13197,46540640,8055556,8811557,1,10204000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,common,0,estimated-wire,80008,80008,0,80008,0,8333333,8472222,13187,46497436,8000000,7268557,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,original,0,raw,80008,80008,0,80008,0,9583333,11111111,13198,46539466,9027778,9786555,1,10204000000
baseline.partition-admission-skew,sparse1024-rate8000-pressure,original,0,estimated-wire,80008,80008,0,80008,0,8333333,9027777,13186,46497318,8000000,7810555,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,common,0,raw,80008,80008,0,80008,0,9583333,10138888,13197,46540640,8055556,8811557,1,10204000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,common,0,estimated-wire,80008,80008,0,80008,0,8333333,8472222,13187,46497436,8000000,7268557,1,10207000000
baseline.partition-admission-skew,sparse1024-rate8000-shared,original,0,raw,80008,80008,0,80008,0,9583333,11111111,13198,46539466,9027778,9786555,1,10204000000
